Epoch,Loss
50,0.011854
1,0.061301
2,0.047064
3,0.027935
4,0.022649
5,0.020384
6,0.018979
7,0.017861
8,0.017263
9,0.016615
10,0.016035
11,0.015776
12,0.015445
13,0.015077
14,0.014894
15,0.014645
16,0.014438
17,0.014202
18,0.014054
19,0.013908
20,0.013738
21,0.013626
22,0.013407
23,0.013356
24,0.013216
25,0.013124
26,0.012993
27,0.012937
28,0.012832
29,0.012742
30,0.012679
31,0.012573
32,0.012530
33,0.012410
34,0.012397
35,0.012289
36,0.012235
37,0.012202
38,0.012129
39,0.012055
40,0.012019
41,0.011977
42,0.011940
43,0.011851
44,0.011827
45,0.011800
46,0.011723
47,0.011715
48,0.011653
49,0.011629
50,0.011601
