Epoch,Loss
1,0.046832
2,0.021674
3,0.015437
4,0.013328
5,0.012254
6,0.011400
7,0.010831
8,0.010387
9,0.009936
10,0.009622
11,0.009367
12,0.009091
13,0.008827
14,0.008683
15,0.008461
16,0.008309
17,0.008185
18,0.007988
19,0.007840
20,0.007734
21,0.007655
22,0.007518
23,0.007394
24,0.007346
25,0.007253
26,0.007222
27,0.007100
28,0.006995
29,0.006938
30,0.007023
31,0.006874
32,0.006760
33,0.006706
34,0.006671
35,0.006673
36,0.006516
37,0.006532
38,0.006445
39,0.006376
40,0.006386
41,0.006404
42,0.006303
43,0.006282
44,0.006195
45,0.006156
46,0.006160
47,0.006123
48,0.006043
49,0.006042
50,0.005969
