Epoch,Loss
1,0.062568
2,0.042156
3,0.035611
4,0.030295
5,0.026561
6,0.024314
7,0.022545
8,0.021498
9,0.020568
10,0.019865
11,0.019299
12,0.018769
13,0.018329
14,0.018103
15,0.017737
16,0.017719
17,0.017339
18,0.017235
19,0.016886
20,0.016773
21,0.016795
22,0.016543
23,0.016290
24,0.016304
25,0.016306
26,0.015930
27,0.015891
28,0.015743
29,0.015685
30,0.015768
31,0.015508
32,0.015267
33,0.015389
34,0.015301
35,0.015179
36,0.015058
37,0.014978
38,0.014906
39,0.014977
40,0.014927
41,0.014834
42,0.014722
43,0.014518
44,0.014704
45,0.014389
46,0.014657
47,0.014363
48,0.014675
49,0.014389
50,0.014299
