Epoch,Loss
1,0.061452
2,0.044748
3,0.039215
4,0.034043
5,0.030316
6,0.027873
7,0.026634
8,0.025209
9,0.024414
10,0.023863
11,0.023224
12,0.022683
13,0.022287
14,0.022030
15,0.021606
16,0.021232
17,0.021224
18,0.020743
19,0.020773
20,0.020543
21,0.020463
22,0.020208
23,0.020055
24,0.019901
25,0.019801
26,0.019721
27,0.019534
28,0.019568
29,0.019270
30,0.019498
31,0.019211
32,0.018975
33,0.018981
34,0.018805
35,0.018915
36,0.018833
37,0.018878
38,0.018757
39,0.018684
40,0.018730
41,0.018455
42,0.018356
43,0.018435
44,0.018171
45,0.018147
46,0.018047
47,0.018211
48,0.018219
49,0.018036
50,0.017923
