Epoch,Loss
1,0.064087
2,0.056008
3,0.055468
4,0.055266
5,0.055151
6,0.055100
7,0.054906
8,0.054596
9,0.054315
10,0.053741
11,0.053212
12,0.052865
13,0.052430
14,0.051952
15,0.051421
16,0.050974
17,0.050699
18,0.050347
19,0.050062
20,0.049968
21,0.049631
22,0.049476
23,0.049385
24,0.049257
25,0.049058
26,0.049000
27,0.048720
28,0.048616
29,0.048573
30,0.048615
31,0.048427
32,0.048270
33,0.048026
34,0.048086
35,0.048000
36,0.047918
37,0.047845
38,0.047804
39,0.047830
40,0.047691
41,0.047546
42,0.047606
43,0.047430
44,0.047451
45,0.047251
46,0.047374
47,0.047142
48,0.047353
49,0.047228
50,0.047020
